Data;Godzina;RCE
20230219;5;427.1
20230219;6;440.15
20230219;7;458.29
20230219;8;488.36
20230219;9;529.46
20230219;10;541.74
20230219;11;516.7
20230219;12;480.19
20230219;13;452.48
20230219;14;451.12
20230219;15;440.4
20230219;16;484.25
20230219;17;552.42
20230219;18;610.34
20230219;19;640.24
20230219;20;639.78
20230219;21;592.69
20230219;22;542.76
20230219;23;524.04
20230219;24;469.11
20230220;1;388.32
20230220;2;386.26
20230220;3;388.27
20230220;4;387.33
20230220;5;388.47
20230220;6;451.04
20230220;7;561.92
20230220;8;600.91
20230220;9;624.49
20230220;10;610.1
20230220;11;592.41
20230220;12;562.55
20230220;13;552.82
20230220;14;540.52
20230220;15;538.02
20230220;16;530.17
20230220;17;567.75
20230220;18;584.37
20230220;19;574.02
20230220;20;578.5
20230220;21;540.78
20230220;22;507
20230220;23;489.32
20230220;24;411.86
20230221;1;297.36
20230221;2;274.69
20230221;3;246.69
20230221;4;248.74
20230221;5;313.96
20230221;6;413.24
20230221;7;498.35
20230221;8;545.06
20230221;9;566.35
20230221;10;561.55
20230221;11;545.05
20230221;12;536.37
20230221;13;525.42
20230221;14;547.26
20230221;15;563.39
20230221;16;613.14
20230221;17;694.32
20230221;18;759.85
20230221;19;799.46
20230221;20;798.78
20230221;21;765.38
20230221;22;741.17
20230221;23;729.61
20230221;24;659.19
20230222;1;666.55
20230222;2;650.01
20230222;3;642.87
20230222;4;640.39
20230222;5;642.46
20230222;6;707.31
20230222;7;789.99
20230222;8;846.37
20230222;9;865.54
20230222;10;821.69
20230222;11;773.1
20230222;12;717.54
20230222;13;721.69
20230222;14;741.96
20230222;15;751.08
20230222;16;803.34
20230222;17;817.01
20230222;18;838.77
20230222;19;863.48
20230222;20;844.85
20230222;21;799.22
20230222;22;730.2
20230222;23;712.13
20230222;24;636.83
20230223;1;624.32
20230223;2;605.35
20230223;3;592.49
20230223;4;585.98
20230223;5;598.7
20230223;6;620.42
20230223;7;730.42
20230223;8;809.53
20230223;9;817.06
20230223;10;788.09
20230223;11;737.68
20230223;12;713.92
20230223;13;702.56
20230223;14;698.96
20230223;15;715.01
20230223;16;747.42
20230223;17;787.38
20230223;18;792.55
20230223;19;788.92
20230223;20;796.02
20230223;21;757.47
20230223;22;702.54
20230223;23;692.27
20230223;24;633.41
20230224;1;603.94
20230224;2;573.53
20230224;3;567.61
20230224;4;568.92
20230224;5;565.81
20230224;6;661.39
20230224;7;710.6
20230224;8;748.33
20230224;9;755.54
20230224;10;749.81
20230224;11;719.83
20230224;12;708.81
20230224;13;703.55
20230224;14;697.94
20230224;15;697.28
20230224;16;711.96
20230224;17;717.95
20230224;18;772.87
20230224;19;771.29
20230224;20;768.07
20230224;21;715.84
20230224;22;653.15
20230224;23;659.23
20230224;24;572.78
20230225;1;561.48
20230225;2;556.44
20230225;3;553.12
20230225;4;544.26
20230225;5;548.37
20230225;6;544.3
20230225;7;515.06
20230225;8;535.58
20230225;9;558.6
20230225;10;563.68
20230225;11;564.01
20230225;12;569.56
20230225;13;552.84
20230225;14;551.96
20230225;15;552.6
20230225;16;551.37
20230225;17;559.45
20230225;18;579.11
20230225;19;599.75
20230225;20;598.08
20230225;21;573.56
20230225;22;559.11
20230225;23;559.81
20230225;24;506.84
20230226;1;492.41
20230226;2;463.97
20230226;3;457.29
20230226;4;462.49
20230226;5;464.47
20230226;6;492.7
20230226;7;496.25
20230226;8;502.16
20230226;9;492.44
20230226;10;489.59
20230226;11;492.74
20230226;12;492.74
20230226;13;492.49
20230226;14;489.84
20230226;15;492.75
20230226;16;550.78
20230226;17;570.01
20230226;18;665.81
20230226;19;717.34
20230226;20;731.87
20230226;21;709.68
20230226;22;704.01
20230226;23;671.97
20230226;24;607.58
20230227;1;652.54
20230227;2;596.79
20230227;3;609.99
20230227;4;612.3
20230227;5;617.41
20230227;6;680.29
20230227;7;766.56
20230227;8;852.97
20230227;9;869.02
20230227;10;808.29
20230227;11;740.48
20230227;12;707.54
